"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"H2,H1";"HOLE_3.2mm";2;"HOLE_3.2mm";;;
2;"C2,C1";"0603C";2;"0.1uF";;;
3;"U1";"SOICâˆ’8";1;"LM393";;;
4;"FD1";"FIDUCIAL_23";1;"FIDUCIAL";;;
5;"G***";"Logo-Front-Soldered-4mm";1;"LOGO";;;
6;",,,,,,,,,,,";"buzzardLabel";12;"";;;
7;"R2,R1";"0603R";2;"10k";;;
8;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
9;"REF**";"Logo-Back-SolderedFULL-15mm";1;"Logo-Front-SolderedFULL-15mm";;;
10;"R3";"0402R";1;"2k2";;;
11;"R4";"tc33x-2-103e";1;"tc33x-2-103e";;;
12;"D1";"0402LED";1;"purple";;;
13;"K3";"JST-SH_2pin_1mm_C145954";1;"JST-SH_2pin_1mm_C145954";;;
14;"G***";"Symbol-Front-Raining";1;"LOGO";;;
15;"REF**";"Version1.1.1.";1;"Version1.1.1.";;;
16;"K1";"HEADER_MALE_2X1";1;"HEADER_MALE_2X1";;;
17;"G***";"Symbol-Front-Water-Sensoric";1;"LOGO";;;
18;"G***";"Symbol-Front-Light";1;"LOGO";;;
19;"K2";"HEADER_MALE_4X1";1;"HEADER_MALE_4X1";;;
20;"G***";"Symbol-Front-Flame";1;"LOGO";;;
